size_fraction,ddt_hr,capture_fraction,depth_inches
0.0,1,0.0,0.0
0.0445,1,0.535272019,0.05
0.089,1,0.761825264,0.1
0.1335,1,0.869244679,0.15
0.178,1,0.922809458,0.2
0.2225,1,0.950194769,0.25
0.267,1,0.963828603,0.3
0.3115,1,0.972593211,0.35
0.356,1,0.978998609,0.4
0.4005,1,0.983171071,0.45
0.445,1,0.985948804,0.5
0.4895,1,0.988732786,0.55
0.534,1,0.990820584,0.6
0.5785,1,0.992491657,0.65
0.623,1,0.993740437,0.7
0.6675,1,0.994853248,0.75
0.712,1,0.995271868,0.8
0.7565,1,0.995829858,0.85
0.801,1,0.996385877,0.9
0.8455,1,0.996939769,0.95
0.89,1,0.997357441,1.0
0.979,1,0.997002694,1.1
1.068,1,0.997163109,1.2
1.157,1,0.997273754,1.3
1.246,1,0.997351964,1.4
1.335,1,0.997408448,1.5
1.424,1,0.997450024,1.6
1.513,1,0.997481147,1.7
1.602,1,0.997504801,1.8
1.691,1,0.997523026,1.9
1.78,1,0.997537241,2.0
1.869,1,0.997548454,2.1
1.958,1,0.997557391,2.2
2.047,1,0.99756458,2.3
2.136,1,0.997570414,2.4
2.225,1,0.997575187,2.5
2.314,1,0.99757912,2.6
2.403,1,0.997582383,2.7
2.492,1,0.997585108,2.8
2.581,1,0.997587398,2.9
2.67,1,0.997589332,3.0
2.759,1,0.997590975,3.1
2.848,1,0.997592378,3.2
2.937,1,0.99759358,3.3
3.026,1,0.997594615,3.4
3.115,1,0.997595511,3.5
3.204,1,0.997596289,3.6
3.293,1,0.997596966,3.7
3.382,1,0.997597559,3.8
3.471,1,0.997598079,3.9
3.56,1,0.997598536,4.0
3.649,1,0.99759894,4.1
3.738,1,0.997599298,4.2
3.827,1,0.997599616,4.3
3.916,1,0.997599898,4.4
4.005,1,0.997600151,4.5
4.094,1,0.997600377,4.6
4.183,1,0.997600579,4.7
4.272,1,0.997600761,4.8
0.0,2,0.0,0.0
0.0445,2,0.374426047,0.05
0.089,2,0.59738453,0.1
0.1335,2,0.73362081,0.15
0.178,2,0.817549715,0.2
0.2225,2,0.872861316,0.25
0.267,2,0.909027681,0.3
0.3115,2,0.93310153,0.35
0.356,2,0.949805339,0.4
0.4005,2,0.960789766,0.45
0.445,2,0.968006677,0.5
0.4895,2,0.972878999,0.55
0.534,2,0.977332777,0.6
0.5785,2,0.981648825,0.65
0.623,2,0.984700974,0.7
0.6675,2,0.987202671,0.75
0.712,2,0.98873592,0.8
0.7565,2,0.990547679,0.85
0.801,2,0.991242702,0.9
0.8455,2,0.992350487,0.95
0.89,2,0.993324061,1.0
0.979,2,0.994051233,1.1
1.068,2,0.994613806,1.2
1.157,2,0.994996334,1.3
1.246,2,0.995261935,1.4
1.335,2,0.995449844,1.5
1.424,2,0.995585057,1.6
1.513,2,0.995683859,1.7
1.602,2,0.995757071,1.8
1.691,2,0.995812022,1.9
1.78,2,0.995853753,2.0
1.869,2,0.99588579,2.1
1.958,2,0.995910632,2.2
2.047,2,0.995930076,2.3
2.136,2,0.995945425,2.4
2.225,2,0.995957641,2.5
2.314,2,0.995967436,2.6
2.403,2,0.995975345,2.7
2.492,2,0.995981774,2.8
2.581,2,0.995987032,2.9
2.67,2,0.995991359,3.0
2.759,2,0.995994937,3.1
2.848,2,0.995997913,3.2
2.937,2,0.996000401,3.3
3.026,2,0.996002489,3.4
3.115,2,0.99600425,3.5
3.204,2,0.996005742,3.6
3.293,2,0.99600701,3.7
3.382,2,0.996008093,3.8
3.471,2,0.99600902,3.9
3.56,2,0.996009818,4.0
3.649,2,0.996010505,4.1
3.738,2,0.996011101,4.2
3.827,2,0.996011617,4.3
3.916,2,0.996012067,4.4
4.005,2,0.99601246,4.5
4.094,2,0.996012803,4.6
4.183,2,0.996013105,4.7
4.272,2,0.99601337,4.8
0.0,3,0.0,0.0
0.0445,3,0.30443857,0.05
0.089,3,0.507165716,0.1
0.1335,3,0.643204896,0.15
0.178,3,0.739916551,0.2
0.2225,3,0.806370844,0.25
0.267,3,0.855910987,0.3
0.3115,3,0.889167014,0.35
0.356,3,0.912958843,0.4
0.4005,3,0.931173526,0.45
0.445,3,0.944923505,0.5
0.4895,3,0.955778056,0.55
